Date,Time (12-hr format),Rain Readings 1 (%),UV 1 (mW/cm²),Lux 1 (lux),DHT Temperature 1 (°C),DHT Humidity 1 (%),Panel Temperature 1 (°C),Panel Voltage 1 (V),Panel Current 1 (mA),Irradiance 1 (W/m²),Battery Voltage 1 (V),Rain Readings 2 (%),UV 2 (mW/cm²),Lux 2 (lux),DHT Temperature 2 (°C),DHT Humidity 2 (%),Panel Temperature 2 (°C),Panel Voltage 2 (V),Panel Current 2 (mA),Irradiance 2 (W/m²),Battery Voltage 2 (V)
3/14/25,10:05:21 AM,2.6969696969697026,1.7154696132596694,18019.2768,27.100000381469727,99.90000153,31.1875,14.06625,2703.5,,12.808125,2.2575757575757507,0.901243094,10628.889599999999,30.399999618530273,99.90000153,29.3125,13.27875,1727.5,,14.108125000000001
3/14/25,10:05:23 AM,2.912878787878782,1.708218232,18008.5248,31.799999237060547,99.90000153,31.1875,14.7225,2703.0000000000005,574,12.7925,2.386363636363626,0.8939917127071819,10648.243199999999,30.399999618530273,99.90000153,29.3125,13.27875,1728,416,14.0975
3/14/25,10:05:36 AM,2.837121212121204,1.7102900552486187,17971.967999999997,31.799999237060547,99.90000153,31.25,14.71375,2708.5000000000005,574,12.76375,2.473484848484844,0.9033149171270718,10683.7248,30.399999618530273,99.90000153,29.3125,13.22375,1739.0000000000002,,13.736875
3/14/25,10:05:41 AM,2.9356060606060623,1.708218232,17991.3216,,,31.25,14.725,2715.5,575,12.7525,2.3219696969696884,0.898135359,10669.7472,30.399999618530273,99.90000153,29.3125,13.21375,1739.5,421,14.10375
3/14/25,10:05:43 AM,2.3257575757575637,1.7154696132596694,18016.588799999998,31.799999237060547,99.90000153,31.25,14.72125,2722,,12.746250000000002,2.829545454545439,0.9053867403314924,10761.1392,30.399999618530273,99.90000153,29.25,13.21125,1742,422,14.095625
3/14/25,10:05:53 AM,2.7651515151515014,1.7258287292817684,18065.5104,31.799999237060547,99.90000153,31.3125,14.72375,2740.5,579,12.742500000000001,2.3939393939393767,0.916781768,10786.4064,30.399999618530273,99.90000153,29.3125,13.21125,1749.5,424,14.063749999999999
3/14/25,10:05:55 AM,2.9204545454545325,1.7247928176795593,18076.8,31.799999237060547,99.90000153,31.3125,14.6975,2741,,12.741249999999999,2.6212121212121104,0.919889503,10803.072,30.399999618530273,99.90000153,29.3125,13.21125,1750.5,425,13.104375
3/14/25,10:06:10 AM,2.8143939393939377,1.7279005524861892,18087.0144,31.799999237060547,99.90000153,31.375,14.745,2751.5,,12.735624999999999,2.537878787878782,0.9209254143646421,10885.8624,30.5,99.90000153,29.375,13.2025,1758,,14.11875
3/14/25,10:06:10 AM,2.537878787878782,1.7258287292817684,18099.9168,31.799999237060547,99.90000153,31.375,14.305,2749,581,12.735624999999999,2.7083333333333286,0.9157458563535916,10865.433599999998,30.5,99.90000153,29.375,13.20625,1756.5,,14.11875
3/14/25,10:06:19 AM,2.837121212121204,1.7289364640883984,18165.503999999997,31.899999618530273,99.90000153,31.4375,14.7525,2788.0000000000005,,12.739374999999999,2.643939393939391,0.9157458563535916,10957.3632,30.5,99.90000153,29.375,13.2025,1769.5000000000002,,14.11125
3/14/25,10:06:24 AM,2.837121212121204,1.7289364640883984,18165.503999999997,31.899999618530273,99.90000153,31.4375,14.76625,2780.5,586,12.745,2.643939393939391,0.9157458563535916,10957.3632,30.5,99.90000153,29.375,13.205,1767.5000000000002,431,14.1675
3/14/25,10:06:26 AM,2.575757575757578,1.7662292817679561,18388.608,31.899999618530273,99.90000153,31.5,14.79875,2830.5000000000005,,12.74,2.7613636363636402,0.9312845303867414,11033.7024,30.600000381469727,99.90000153,29.375,13.21125,1781.0000000000002,433,14.155625
3/14/25,10:06:31 AM,2.662878787878782,1.7973066298342537,18585.907199999998,31.899999618530273,99.90000153,31.4375,14.76625,2829,596,12.744375000000002,2.8598484848484844,0.9416436464088406,11084.236799999999,30.600000381469727,99.90000153,29.375,13.20375,1783.0000000000002,,14.165624999999999
